id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,need a low carb meal with what i have in pantry,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fried"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN002,looking for quick lowcarb dinners under 30 mins,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fried"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN003,quick and easy low carb recipe no frying,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fried"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN004,plz suggest easy low carb stuff to make,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fried"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN005,whats a simple low carb recipe i can do fast?,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""avoid_specific: fried"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN006,keto recipes from pantry ingredients pls,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN007,need a quick keto meal using stuff I have,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN008,looking for moderate effort keto dish in 30-60 mins,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN009,"Keto dinner idea for tonight, any cuisine?","{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN010,whats a keto recipe that uses pantry stuff? 🍽️,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
